target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	782.316	7	12.0062
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	497.151	292.5	789.453
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	146.888	33	301.451
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	442.206	16	48.5494
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	133.6	48	482.084
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	204.683	38	249.11
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	434.077	36	111.282
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1196.32	15	16.8242
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	269.122	2124	10589.9
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	875.316	2197	3367.86
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	362.813	427	1579.19
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	785.316	53	90.5566
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	713.503	57	107.193
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	266.421	41	206.493
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1043.32	100	128.609
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	695.503	523	1009
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1628.32	159	131.023
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	190.621	19	133.743
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1580.32	42	35.661
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	387.536	68	235.443
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	815.316	25	41.1436
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1031.32	36	46.8381
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	167.384	1535	12305
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2174.32	487	300.535
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	387.536	15	51.9359
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	214.258	233	1459.18
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2021.32	737	489.24
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	146.888	6	54.8093
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2288.32	68	39.8732
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	585.494	67	153.547
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	140.133	6	57.4511
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1475.32	51	46.3846
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2420.32	211	116.977
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	497.151	41	110.658
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	328.754	0	0
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1100.32	14	17.0726
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1490.32	77	69.3268
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	314.785	674	2872.99
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1298.32	1009	1042.8
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1139.32	49	57.7086
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	905.316	41	60.7676
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2882.32	428	199.247
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	644.618	75	156.116
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4220.32	1346	427.946
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	417.402	455	1462.67
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	409.588	21	68.7957
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	263.84	5	25.4283
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	644.618	438	911.717
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	644.618	10	20.8155
gene_50|GeneMark.hmm|420_nt|-|75616|76035	420	216.39	26	161.222
gene_51|GeneMark.hmm|543_nt|+|76184|76726	543	317.016	194	821.125
gene_52|GeneMark.hmm|1422_nt|+|76792|78213	1422	1175.32	168	191.798
gene_53|GeneMark.hmm|2730_nt|+|78337|81066	2730	2483.32	461	249.091
gene_54|GeneMark.hmm|954_nt|-|81182|82135	954	707.503	1535	2911.18
gene_55|GeneMark.hmm|633_nt|-|82228|82860	633	395.99	241	816.622
gene_56|GeneMark.hmm|531_nt|-|82930|83460	531	307.106	49	214.09
gene_57|GeneMark.hmm|2424_nt|+|83752|86175	2424	2177.32	39	24.0343
gene_58|GeneMark.hmm|567_nt|+|86997|87563	567	336.246	15	59.858
gene_59|GeneMark.hmm|501_nt|+|87684|88184	501	281.599	32	152.478
gene_60|GeneMark.hmm|588_nt|-|88299|88886	588	354.979	111	419.574
gene_61|GeneMark.hmm|1224_nt|-|88962|90185	1224	977.316	946	1298.81
gene_62|GeneMark.hmm|528_nt|+|90678|91205	528	304.716	160	704.553
gene_63|GeneMark.hmm|483_nt|+|92473|92955	483	266.421	12	60.4369
gene_64|GeneMark.hmm|525_nt|+|93033|93557	525	302.267	10	44.3913
gene_65|GeneMark.hmm|960_nt|-|93827|94786	960	713.503	97	182.417
gene_66|GeneMark.hmm|1023_nt|-|95080|96102	1023	776.316	12	20.7411
gene_67|GeneMark.hmm|780_nt|-|96805|97584	780	535.17	419	1050.54
gene_68|GeneMark.hmm|453_nt|+|97693|98145	453	242.276	78	431.989
gene_69|GeneMark.hmm|360_nt|-|98398|98757	360	169.622	85	672.398
gene_70|GeneMark.hmm|720_nt|+|99283|100002	720	476.982	50	140.655
gene_71|GeneMark.hmm|339_nt|-|100530|100868	339	153.311	13	113.778
gene_72|GeneMark.hmm|1029_nt|+|101083|102111	1029	782.316	13	22.2972
gene_73|GeneMark.hmm|537_nt|+|102435|102971	537	312.181	10	42.9816
gene_74|GeneMark.hmm|723_nt|-|102973|103695	723	479.612	74	207.029
gene_75|GeneMark.hmm|1548_nt|-|103815|105362	1548	1301.32	42	43.3067
gene_76|GeneMark.hmm|588_nt|-|105485|106072	588	354.979	7	26.4596
gene_77|GeneMark.hmm|873_nt|+|106349|107221	873	626.618	76	162.742
gene_78|GeneMark.hmm|1821_nt|-|107265|109085	1821	1574.32	581	495.191
gene_79|GeneMark.hmm|1185_nt|-|109162|110346	1185	938.316	305	436.154
gene_80|GeneMark.hmm|1149_nt|-|110722|111870	1149	902.316	99	147.219
gene_81|GeneMark.hmm|393_nt|-|111922|112314	393	195.488	12	82.3665
gene_82|GeneMark.hmm|390_nt|-|112409|112798	390	193.018	4	27.8068
gene_83|GeneMark.hmm|1497_nt|-|112913|114409	1497	1250.32	15	16.0976
gene_84|GeneMark.hmm|1089_nt|-|114506|115594	1089	842.316	18	28.6739
gene_85|GeneMark.hmm|360_nt|+|115854|116213	360	169.622	102	806.878
gene_86|GeneMark.hmm|603_nt|-|116255|116857	603	368.427	155	564.507
gene_87|GeneMark.hmm|420_nt|+|117321|117740	420	216.39	21	130.218
gene_88|GeneMark.hmm|1149_nt|-|117751|118899	1149	902.316	37	55.0214
gene_89|GeneMark.hmm|1827_nt|-|119023|120849	1827	1580.32	123	104.436
gene_90|GeneMark.hmm|1104_nt|-|120989|122092	1104	857.316	189.197	296.116
gene_91|GeneMark.hmm|945_nt|-|122574|123518	945	698.503	266.803	512.52
gene_92|GeneMark.hmm|1263_nt|-|123670|124932	1263	1016.32	8	10.5621
gene_93|GeneMark.hmm|1848_nt|+|125079|126926	1848	1601.32	62	51.9521
gene_94|GeneMark.hmm|558_nt|-|126944|127501	558	328.754	35	142.852
gene_95|GeneMark.hmm|1359_nt|+|127594|128952	1359	1112.32	217	261.77
gene_96|GeneMark.hmm|327_nt|-|128953|129279	327	144.433	18	167.223
gene_97|GeneMark.hmm|417_nt|-|129357|129773	417	214.258	5	31.3128
gene_98|GeneMark.hmm|1239_nt|+|129853|131091	1239	992.316	116	156.854
gene_99|GeneMark.hmm|3012_nt|-|131088|134099	3012	2765.32	49	23.7761
gene_100|GeneMark.hmm|945_nt|+|134187|135131	945	698.503	2	3.84194
gene_101|GeneMark.hmm|417_nt|+|135172|135588	417	214.258	15	93.9384
gene_102|GeneMark.hmm|642_nt|-|135589|136230	642	404.189	26	86.3132
gene_103|GeneMark.hmm|642_nt|-|136265|136906	642	404.189	40	132.789
gene_104|GeneMark.hmm|681_nt|-|136975|137655	681	439.472	80	244.257
gene_105|GeneMark.hmm|1239_nt|+|137742|138980	1239	992.316	19	25.6917
gene_106|GeneMark.hmm|2964_nt|-|139049|142012	2964	2717.32	1283	633.542
gene_107|GeneMark.hmm|1512_nt|+|142103|143614	1512	1265.32	122	129.375
gene_108|GeneMark.hmm|606_nt|+|143723|144328	606	371.232	103	372.289
gene_109|GeneMark.hmm|708_nt|-|144620|145327	708	465.225	156	449.936
