target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	752.377	0.5	7.2744
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	470.58	16.5	383.808
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	141.994	7	539.625
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	416.64	0	0
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	129.824	5	421.577
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	193.759	4	225.975
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	408.305	0	0
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1166.38	0	0
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	252.534	143	6198.39
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	845.377	76	984.07
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	341.037	40	1283.87
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	755.377	4	57.9641
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	683.377	2	32.0356
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	250.07	0	0
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1013.38	7	75.6119
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	665.578	25	411.154
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1598.38	9	61.6348
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	181.391	0	0
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1550.38	4	28.2414
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	363.862	4	120.334
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	785.377	0	0
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1001.38	2	21.8623
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	161.614	26	1760.99
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2144.38	49	250.126
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	363.862	0	0
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	202.34	14	757.372
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	1991.38	65	357.292
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	141.994	0	0
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2258.38	13	63.0101
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	556.086	9	177.159
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	136.001	0	0
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1445.38	2	15.1465
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2390.38	8	36.6342
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	470.58	13	302.394
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	309.721	0	0
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1070.38	0	0
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1460.38	6	44.9727
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	295.751	68	2516.78
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1268.38	91	785.337
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1109.38	6	59.2018
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	875.377	1	12.5045
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2852.38	21	80.5889
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	615.388	10	177.875
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4190.38	115	300.405
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	391.957	13	363.051
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	384.217	1	28.4896
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	247.854	0	0
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	615.388	21	373.537
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	615.388	0	0
gene_50|GeneMark.hmm|420_nt|-|75616|76035	420	204.647	1	53.4881
gene_51|GeneMark.hmm|543_nt|+|76184|76726	543	298.272	17	623.878
gene_52|GeneMark.hmm|1422_nt|+|76792|78213	1422	1145.38	23	219.807
gene_53|GeneMark.hmm|2730_nt|+|78337|81066	2730	2453.38	49	218.623
gene_54|GeneMark.hmm|954_nt|-|81182|82135	954	677.377	257	4153.04
gene_55|GeneMark.hmm|633_nt|-|82228|82860	633	371.173	18	530.834
gene_56|GeneMark.hmm|531_nt|-|82930|83460	531	288.899	4	151.557
gene_57|GeneMark.hmm|2424_nt|+|83752|86175	2424	2147.38	3	15.2924
gene_58|GeneMark.hmm|567_nt|+|86997|87563	567	316.204	1	34.6175
gene_59|GeneMark.hmm|501_nt|+|87684|88184	501	264.793	0	0
gene_60|GeneMark.hmm|588_nt|-|88299|88886	588	333.725	4	131.2
gene_61|GeneMark.hmm|1224_nt|-|88962|90185	1224	947.377	65	751.023
gene_62|GeneMark.hmm|528_nt|+|90678|91205	528	286.212	27	1032.62
gene_63|GeneMark.hmm|483_nt|+|92473|92955	483	250.07	3	131.318
gene_64|GeneMark.hmm|525_nt|+|93033|93557	525	283.833	0	0
gene_65|GeneMark.hmm|960_nt|-|93827|94786	960	683.377	15	240.267
gene_66|GeneMark.hmm|1023_nt|-|95080|96102	1023	746.377	1	14.6658
gene_67|GeneMark.hmm|780_nt|-|96805|97584	780	507.134	47	1014.47
gene_68|GeneMark.hmm|453_nt|+|97693|98145	453	228.602	2	95.7665
gene_69|GeneMark.hmm|360_nt|-|98398|98757	360	163.517	1	66.9422
gene_70|GeneMark.hmm|720_nt|+|99283|100002	720	450.366	7	170.136
gene_71|GeneMark.hmm|339_nt|-|100530|100868	339	148.601	5	368.308
gene_72|GeneMark.hmm|1029_nt|+|101083|102111	1029	752.377	4	58.1952
gene_73|GeneMark.hmm|537_nt|+|102435|102971	537	293.483	0	0
gene_74|GeneMark.hmm|723_nt|-|102973|103695	723	453.275	3	72.4473
gene_75|GeneMark.hmm|1548_nt|-|103815|105362	1548	1271.38	9	77.4874
gene_76|GeneMark.hmm|588_nt|-|105485|106072	588	333.725	0	0
gene_77|GeneMark.hmm|873_nt|+|106349|107221	873	597.509	14	256.476
gene_78|GeneMark.hmm|1821_nt|-|107265|109085	1821	1544.38	38	269.335
gene_79|GeneMark.hmm|1185_nt|-|109162|110346	1185	908.377	46	554.313
gene_80|GeneMark.hmm|1149_nt|-|110722|111870	1149	872.377	13	163.118
gene_81|GeneMark.hmm|393_nt|-|111922|112314	393	185.759	0	0
gene_82|GeneMark.hmm|390_nt|-|112409|112798	390	183.415	0	0
gene_83|GeneMark.hmm|1497_nt|-|112913|114409	1497	1220.38	0	0
gene_84|GeneMark.hmm|1089_nt|-|114506|115594	1089	812.377	3	40.4228
gene_85|GeneMark.hmm|360_nt|+|115854|116213	360	163.517	3	200.826
gene_86|GeneMark.hmm|603_nt|-|116255|116857	603	345.971	9	284.751
gene_87|GeneMark.hmm|420_nt|+|117321|117740	420	204.647	0	0
gene_88|GeneMark.hmm|1149_nt|-|117751|118899	1149	872.377	5	62.7377
gene_89|GeneMark.hmm|1827_nt|-|119023|120849	1827	1550.38	16	112.965
gene_90|GeneMark.hmm|1104_nt|-|120989|122092	1104	827.377	4	52.92
gene_91|GeneMark.hmm|945_nt|-|122574|123518	945	668.578	4	65.4895
gene_92|GeneMark.hmm|1263_nt|-|123670|124932	1263	986.377	1	11.0974
gene_93|GeneMark.hmm|1848_nt|+|125079|126926	1848	1571.38	4	27.8639
gene_94|GeneMark.hmm|558_nt|-|126944|127501	558	309.721	0	0
gene_95|GeneMark.hmm|1359_nt|+|127594|128952	1359	1082.38	5	50.5655
gene_96|GeneMark.hmm|327_nt|-|128953|129279	327	140.368	0	0
gene_97|GeneMark.hmm|417_nt|-|129357|129773	417	202.34	0	0
gene_98|GeneMark.hmm|1239_nt|+|129853|131091	1239	962.377	15	170.612
gene_99|GeneMark.hmm|3012_nt|-|131088|134099	3012	2735.38	5	20.0086
gene_100|GeneMark.hmm|945_nt|+|134187|135131	945	668.578	0	0
gene_101|GeneMark.hmm|417_nt|+|135172|135588	417	202.34	0	0
gene_102|GeneMark.hmm|642_nt|-|135589|136230	642	378.721	2	57.8061
gene_103|GeneMark.hmm|642_nt|-|136265|136906	642	378.721	2	57.8061
gene_104|GeneMark.hmm|681_nt|-|136975|137655	681	413.849	7	185.148
gene_105|GeneMark.hmm|1239_nt|+|137742|138980	1239	962.377	0	0
gene_106|GeneMark.hmm|2964_nt|-|139049|142012	2964	2687.38	230	936.833
gene_107|GeneMark.hmm|1512_nt|+|142103|143614	1512	1235.38	15	132.909
gene_108|GeneMark.hmm|606_nt|+|143723|144328	606	348.54	6	188.435
gene_109|GeneMark.hmm|708_nt|-|144620|145327	708	439.345	10	249.148
gene_110|GeneMark.hmm|480_nt|+|145414|145893	480	247.854	0	0
gene_111|GeneMark.hmm|1386_nt|+|145962|147347	1386	1109.38	10	98.6697
gene_112|GeneMark.hmm|630_nt|+|147383|148012	630	368.551	0	0
gene_113|GeneMark.hmm|645_nt|-|148016|148660	645	381.45	2	57.3925
gene_114|GeneMark.hmm|498_nt|+|148762|149259	498	262.465	0	0
gene_115|GeneMark.hmm|600_nt|-|149376|149975	600	343.292	6	191.316
gene_116|GeneMark.hmm|1797_nt|+|150056|151852	1797	1520.38	5	35.9983
gene_117|GeneMark.hmm|312_nt|-|151937|152248	312	129.824	3	252.946
gene_118|GeneMark.hmm|843_nt|-|152729|153571	843	567.919	6	115.645
gene_119|GeneMark.hmm|1920_nt|-|153899|155818	1920	1643.38	20	133.216
gene_120|GeneMark.hmm|312_nt|-|155904|156215	312	129.824	1	84.3154
gene_121|GeneMark.hmm|678_nt|+|156413|157090	678	411.057	1	26.6294
gene_122|GeneMark.hmm|1302_nt|-|157171|158472	1302	1025.38	1	10.6753
gene_123|GeneMark.hmm|702_nt|-|158556|159257	702	433.959	0	0
gene_124|GeneMark.hmm|330_nt|-|159537|159866	330	141.994	4	308.357
gene_125|GeneMark.hmm|1869_nt|-|160007|161875	1869	1592.38	17	116.86
gene_126|GeneMark.hmm|1416_nt|+|162083|163498	1416	1139.38	0	0
gene_127|GeneMark.hmm|762_nt|+|163491|164252	762	490.426	0	0
gene_128|GeneMark.hmm|639_nt|-|164257|164895	639	376.105	3	87.3123
gene_129|GeneMark.hmm|1266_nt|+|166755|168020	1266	989.377	3	33.1912
gene_130|GeneMark.hmm|1227_nt|-|168095|169321	1227	950.377	11	126.695
gene_131|GeneMark.hmm|612_nt|+|169771|170382	612	353.776	3	92.823
gene_132|GeneMark.hmm|744_nt|+|171352|172095	744	473.391	532	12301.4
gene_133|GeneMark.hmm|1755_nt|+|172232|173986	1755	1478.38	7	51.8294
gene_134|GeneMark.hmm|309_nt|+|174048|174356	309	128.015	1	85.5068
gene_135|GeneMark.hmm|939_nt|-|174364|175302	939	662.578	0	0
gene_136|GeneMark.hmm|327_nt|-|175576|175902	327	140.368	2	155.965
gene_137|GeneMark.hmm|1200_nt|-|176055|177254	1200	923.377	8	94.8361
gene_138|GeneMark.hmm|6351_nt|-|177334|183684	6351	6074.38	10	18.0203
gene_139|GeneMark.hmm|555_nt|+|183806|184360	555	307.576	1	35.5886
gene_140|GeneMark.hmm|849_nt|+|184413|185261	849	573.919	1	19.0727
gene_141|GeneMark.hmm|699_nt|+|185350|186048	699	431.002	7	177.78
gene_142|GeneMark.hmm|1572_nt|+|186120|187691	1572	1295.38	5	42.251
gene_143|GeneMark.hmm|630_nt|+|187713|188342	630	368.551	23	683.114
gene_144|GeneMark.hmm|4395_nt|+|188494|192888	4395	4118.38	17	45.1841
gene_145|GeneMark.hmm|375_nt|-|192890|193264	375	173.28	0	0
gene_146|GeneMark.hmm|906_nt|+|193364|194269	906	629.896	82	1424.98
gene_147|GeneMark.hmm|2172_nt|+|194368|196539	2172	1895.38	2	11.5504
gene_148|GeneMark.hmm|321_nt|+|196657|196977	321	136.001	0	0
gene_149|GeneMark.hmm|732_nt|+|197058|197789	732	462	0	0
gene_150|GeneMark.hmm|1488_nt|+|197832|199319	1488	1211.38	10	90.3616
gene_151|GeneMark.hmm|1152_nt|-|199352|200503	1152	875.377	6	75.0273
gene_152|GeneMark.hmm|3966_nt|-|200845|204810	3966	3689.38	9	26.7025
gene_153|GeneMark.hmm|5511_nt|-|204908|210418	5511	5234.38	5	10.4561
gene_154|GeneMark.hmm|756_nt|+|210513|211268	756	484.767	0	0
gene_155|GeneMark.hmm|1155_nt|+|211335|212489	1155	878.377	3	37.3855
gene_156|GeneMark.hmm|1353_nt|+|212533|213885	1353	1076.38	2	20.339
