target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	765.168	0	0
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	483.459	17	619.511
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	145.968	11	1327.69
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	429.326	0	0
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	133.446	6	792.147
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	201.26	3	262.618
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	420.929	2	83.7107
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1179.17	1	14.9412
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	262.974	104	6967.56
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	858.168	48	985.437
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	352.128	18	900.599
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	768.168	6	137.612
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	696.168	5	126.537
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	260.441	1	67.6473
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1026.17	4	68.6755
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	678.168	28	727.412
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1611.17	11	120.285
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	187.899	6	562.585
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1563.17	10	112.708
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	375.036	2	93.9544
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	798.168	2	44.1464
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1014.17	2	34.744
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	165.962	8	849.262
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2157.17	31	253.185
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	375.036	0	0
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	210.07	12	1006.41
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2004.17	28	246.141
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	145.968	2	241.398
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2271.17	11	85.3303
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	568.821	3	92.9193
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	139.797	1	126.026
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1458.17	6	72.4943
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2403.17	23	168.618
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	483.459	3	109.325
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	319.105	0	0
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1083.17	0	0
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1473.17	8	95.6748
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	305.639	7	403.505
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1281.17	61	838.849
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1122.17	6	94.2005
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	888.168	12	238.038
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2865.17	49	301.305
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	627.815	9	252.564
